,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,Naming,Gram,Art.Col,MSA1000,MSA1001,MSA1002,MSA1003,Zymo.Ext,Zymo.Seq,PC04924_OB,PC04925_OB,PC07578_OB,PC04924_MSA1000,PC04924_MSA1001,PC04924_MSA1002,PC04924_MSA1003,PC04924_Seq200,PC04924_Seq2000,PC04925_MSA1000,PC04925_MSA1001,PC04925_MSA1002,PC04925_MSA1003,PC04925_Seq200,PC04925_Seq2000,PC07578_MSA1000,PC07578_MSA1001,PC07578_MSA1002,PC07578_MSA1003,PC07578_Seq200,PC07578_Seq2000
Subdoligranulum,Bacteria,Eubacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,Subdoligranulum variabile,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Subdoligranulum,N,0.02,NA,NA,NA,NA,NA,NA,0.005372709,0.002038426,0.002891857,1.43E-05,8.47E-06,3.51E-05,2.41E-05,8.03E-06,0,6.74E-06,4.50E-05,7.06E-05,0.000146804,7.09E-05,0.000376843,NA,2.15E-05,1.94E-05,1.35E-05,7.12E-06,0
Clostridium innocuum group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53E-06,0,4.88E-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.74E-06,0,0
Eubacterium coprostanoligenes group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000540139,8.49E-05,0.000386502,7.14E-06,0,7.02E-06,0,0,0,1.35E-05,0,2.35E-05,5.87E-05,3.55E-05,3.35E-05,NA,0,6.48E-06,1.35E-05,0,6.97E-06
Eubacterium eligens group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94E-05,1.82E-05,4.14E-05,0,0,0,0,0,0,0,0,0,7.34E-06,0,8.37E-06,NA,0,0,0,0,0
Eubacterium hallii group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000823602,7.84E-05,0.000529239,7.14E-06,1.69E-05,7.02E-06,8.02E-06,1.61E-05,8.26E-06,2.69E-05,9.00E-06,1.57E-05,2.20E-05,0,4.19E-05,NA,7.16E-06,0,6.74E-06,1.42E-05,0
Eubacterium rectale group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00240479,0.000359805,0.001505651,7.14E-06,0,2.81E-05,3.21E-05,4.02E-05,1.65E-05,7.41E-05,2.70E-05,0.000125561,8.81E-05,8.87E-05,0.000209357,NA,7.16E-06,5.18E-05,5.39E-05,7.12E-06,2.09E-05
Eubacterium ventriosum group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28E-05,5.60E-06,2.71E-05,0,0,0,0,0,0,0,0,0,0,8.87E-06,0,NA,0,0,0,0,6.97E-06
Eubacterium xylanophilum group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69E-05,2.66E-05,6.42E-05,0,0,7.02E-06,0,0,0,0,0,0,0,0,8.37E-06,NA,0,0,6.74E-06,0,0
Ruminococcus gauvreauii group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000461681,4.48E-05,0.000254327,7.14E-06,0,0,0,0,1.65E-05,0,9.00E-06,7.85E-06,1.47E-05,8.87E-06,8.37E-06,NA,7.16E-06,0,0,0,6.97E-06
Ruminococcus torques group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000156917,3.92E-05,0.000111048,7.14E-06,0,7.02E-06,0,8.03E-06,0,6.74E-06,9.00E-06,0,1.47E-05,0,8.37E-06,NA,0,0,6.74E-06,0,0
Adlercreutzia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89E-05,7.93E-06,1.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Akkermansia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001568534,0.000541807,0.001864255,8.57E-05,3.39E-05,0.000119332,0.00010429,8.84E-05,8.26E-05,8.08E-05,0.000107952,0.000172647,0.000183505,9.75E-05,0.000318223,NA,5.01E-05,5.18E-05,0.000107767,4.98E-05,4.88E-05
Ambiguous_taxa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024842187,0.052347596,0.021194765,0.346315925,0.260332224,0.198785624,0.081017553,6.43E-05,0.000115628,0.325482217,0.25888576,0.193952663,0.075405913,4.43E-05,8.37E-05,NA,0.256275289,0.200804305,0.076702881,2.85E-05,4.18E-05
Anaerofilum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11E-07,9.33E-07,5.42E-07,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Anaerotruncus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18E-05,6.07E-06,5.31E-05,7.14E-06,0,7.02E-06,8.02E-06,0,0,0,0,7.85E-06,0,8.87E-06,0,NA,0,6.48E-06,6.74E-06,7.12E-06,0
Blautia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002365561,0.000267403,0.001405978,2.14E-05,8.47E-06,4.91E-05,2.41E-05,1.61E-05,1.65E-05,2.69E-05,5.40E-05,7.85E-05,9.54E-05,0.000115273,0.00011724,NA,7.16E-06,3.24E-05,4.71E-05,1.42E-05,6.97E-06
Butyricicoccus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00023896,7.70E-05,0.000174698,0,0,0,1.60E-05,8.03E-06,0,0,0,2.35E-05,1.47E-05,0,0.000100492,NA,0,0,0,0,6.97E-06
Candidatus Stoquefichus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012034496,0.005979942,0.006397188,1.43E-05,8.47E-06,0,8.02E-06,8.03E-06,1.65E-05,1.35E-05,9.00E-06,0,1.47E-05,0,0,NA,0,6.48E-06,0,7.12E-06,6.97E-06
Carnobacterium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00024803,0.000346738,0.000294684,0,0,0,0,0.00094789,0.0007681,0,0,0,0,0.001117259,0.000929547,NA,0,6.48E-06,0,0.000740261,0.001080682
Christensenellaceae R-7 group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.50E-05,1.40E-05,8.75E-05,1.43E-05,0,0,0,8.03E-06,0,0,0,0,7.34E-06,0,1.67E-05,NA,7.16E-06,0,6.74E-06,0,0
Clostridium sensu stricto 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013186484,0.03104026,0.010852658,0.205995372,0.02326921,0.162887828,0.060913583,8.03E-06,8.26E-06,0.19858653,0.024127167,0.171587092,0.091326815,1.77E-05,3.35E-05,NA,0.024879149,0.166384966,0.072877166,7.12E-06,0
Coprococcus 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.93E-05,1.26E-05,6.26E-05,0,0,0,0,0,0,0,9.00E-06,0,0,0,8.37E-06,NA,0,0,0,0,0
Coprococcus 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000806096,0.00023147,0.000798734,1.43E-05,8.47E-06,2.81E-05,3.21E-05,1.61E-05,1.65E-05,2.69E-05,9.00E-06,6.28E-05,0.000124783,5.32E-05,0.000142363,NA,1.43E-05,2.59E-05,2.02E-05,0,2.79E-05
Coprococcus 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.88E-05,1.17E-05,5.25E-05,0,0,0,0,0,0,0,9.00E-06,0,7.34E-06,0,0,NA,0,0,0,0,0
Defluviitaleaceae UCG-011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27E-06,9.33E-07,4.06E-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Dialister,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000126335,6.58E-05,8.53E-05,7.14E-06,0,7.02E-06,0,8.03E-06,0,1.35E-05,9.00E-06,0,2.20E-05,8.87E-06,3.35E-05,NA,7.16E-06,0,6.74E-06,0,0
Dorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00047539,6.21E-05,0.000264078,0,8.47E-06,0,1.60E-05,0,0,1.35E-05,3.60E-05,1.57E-05,7.34E-06,8.87E-06,8.37E-05,NA,1.43E-05,0,0,0,0
Eisenbergiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12E-05,9.33E-06,4.55E-05,0,0,7.02E-06,8.02E-06,0,0,1.35E-05,0,0,7.34E-06,0,0,NA,0,0,0,0,0
Enterobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009675263,0.004900062,0.007009036,0.004535455,0.004591158,0.002337498,0.007621217,0.005984561,0.005120666,0.002135701,0.00229397,0.000910318,0.003391174,0.003493651,0.00286401,NA,0.003036488,0.001482978,0.005011147,0.003758248,0.004036869
Erwinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000978831,0.000579607,0.000877281,3.57E-05,8.47E-06,4.91E-05,0.00010429,0.000843462,0.000776359,6.74E-06,9.00E-06,0,6.61E-05,0.000478825,0.000510832,NA,2.86E-05,6.48E-06,4.71E-05,0.000448427,0.00058566
Erysipelatoclostridium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38E-05,1.87E-06,2.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.74E-06,7.12E-06,0
Erysipelotrichaceae UCG-003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0002436,4.62E-05,0.000173614,7.14E-06,1.69E-05,0,0,0,0,6.74E-06,1.80E-05,1.57E-05,7.34E-06,8.87E-06,4.19E-05,NA,0,0,0,0,0
Faecalibacterium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003344814,0.000950145,0.002710659,1.43E-05,8.47E-06,1.40E-05,4.01E-05,2.41E-05,3.30E-05,6.06E-05,8.10E-05,6.28E-05,9.54E-05,4.43E-05,0.000544329,NA,5.01E-05,3.24E-05,3.37E-05,2.14E-05,4.88E-05
Family XIII AD3011 group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56E-05,3.73E-06,4.41E-05,0,0,0,0,0,0,6.74E-06,0,7.85E-06,7.34E-06,8.87E-06,0,NA,0,0,6.74E-06,0,0
Flavonifractor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.49E-06,1.40E-06,7.04E-06,0,0,0,8.02E-06,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Fusicatenibacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000412961,8.35E-05,0.000274641,2.14E-05,0,0,1.60E-05,8.03E-06,2.48E-05,1.35E-05,1.80E-05,3.92E-05,2.94E-05,5.32E-05,4.19E-05,NA,1.43E-05,6.48E-06,0,0,0
Gordonibacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01E-05,9.33E-07,3.52E-06,0,0,0,0,0,0,0,0,7.85E-06,0,0,0,NA,0,0,0,0,0
Gossypium arboreum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56E-05,1.87E-05,2.17E-06,0,0,7.02E-06,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Holdemania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69E-05,7.93E-06,1.60E-05,0,0,0,0,0,8.26E-06,0,0,0,0,0,0,NA,0,0,0,0,0
Hungatella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.80E-06,4.20E-06,1.57E-05,0,0,0,0,0,0,0,0,7.85E-06,0,0,0,NA,0,6.48E-06,0,0,6.97E-06
Intestinibacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00014616,2.24E-05,0.000113215,1.43E-05,8.47E-06,0,2.41E-05,0,0,0,0,1.57E-05,7.34E-06,0,0,NA,0,0,6.74E-06,0,0
Intestinimonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.80E-06,9.33E-07,4.60E-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Kluyvera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000862831,0.001034613,0.001022998,0,0,0,8.02E-06,0.002265297,0.001982193,0,0,0,0,0.001924168,0.001808848,NA,0,0,0,0.001658469,0.002328695
Lachnospira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000202262,8.87E-05,0.000195824,0,0,0,1.60E-05,0,0,2.02E-05,1.80E-05,2.35E-05,4.40E-05,2.66E-05,2.51E-05,NA,0,1.30E-05,1.35E-05,1.42E-05,0
Lachnospiraceae FCS020 group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.42E-05,2.80E-06,3.30E-05,0,0,7.02E-06,0,0,0,0,0,0,0,0,0,NA,0,6.48E-06,0,0,0
Lachnospiraceae ND3007 group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000156917,3.31E-05,0.000110506,0,0,0,0,0,0,6.74E-06,2.70E-05,0,2.20E-05,2.66E-05,1.67E-05,NA,0,0,0,0,0
Lachnospiraceae NK4A136 group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000173157,0.000129735,0.000336124,7.14E-06,2.54E-05,2.81E-05,3.21E-05,2.41E-05,8.26E-06,6.74E-06,9.00E-06,5.49E-05,5.87E-05,2.66E-05,5.86E-05,NA,1.43E-05,1.30E-05,4.04E-05,7.12E-06,2.09E-05
Lachnospiraceae UCG-001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000180539,5.60E-05,0.00010834,7.14E-06,0,1.40E-05,8.02E-06,0,0,0,0,7.85E-06,4.40E-05,0,7.54E-05,NA,0,0,0,0,6.97E-06
Lachnospiraceae UCG-004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77E-05,1.82E-05,2.98E-05,0,0,0,0,0,0,6.74E-06,0,0,7.34E-06,0,0,NA,0,0,0,7.12E-06,0
Lachnospiraceae UCG-008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69E-06,9.33E-07,1.63E-06,0,0,0,0,0,0,0,0,0,0,8.87E-06,0,NA,0,0,0,0,0
Lactonifactor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90E-06,0,3.79E-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Marvinbryantia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.96E-05,9.80E-06,5.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Odoribacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14E-05,3.27E-06,7.85E-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Oryza sativa Indica Group (long-grained rice),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32E-06,1.87E-06,2.71E-07,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000928002,0.001518086,0.000891094,0.004864008,0.00033036,0.002555103,0.003409492,0.000963956,0.001255389,0.00644079,0.000440802,0.002652478,0.003457236,0.00133007,0.001222647,NA,0.000315107,0.002014001,0.002593134,0.000875501,0.001485066
Oxalobacter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09E-05,6.53E-06,9.48E-06,0,0,0,8.02E-06,0,0,0,0,0,7.34E-06,0,8.37E-06,NA,0,0,0,7.12E-06,0
Parasutterella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91E-06,0,9.75E-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Phascolarctobacterium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000111149,3.55E-05,4.88E-05,0,0,7.02E-06,8.02E-06,8.03E-06,8.26E-06,6.74E-06,0,1.57E-05,1.47E-05,8.87E-06,3.35E-05,NA,7.16E-06,0,0,0,0
Porphyromonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006341838,0.014197113,0.009074533,0,0,0.054941738,0.178360556,0,0,0,9.00E-06,0.052845528,0.173838046,0,0,NA,7.16E-06,0.049566439,0.17402286,0,0
Raoultella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095607388,0.092013366,0.112320633,0.000121422,0.000160945,0.000175488,0.000489362,0.104677597,0.092791424,8.76E-05,4.50E-05,6.28E-05,0.000256907,0.105926793,0.091815799,NA,0.000107423,9.71E-05,0.000222269,0.11232748,0.091237415
Roseburia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00115009,0.000376138,0.000693916,7.14E-06,0,2.81E-05,4.81E-05,1.61E-05,3.30E-05,4.72E-05,5.40E-05,8.63E-05,0.000110103,4.43E-05,0.000200983,NA,7.16E-06,1.30E-05,4.04E-05,1.42E-05,0
Ruminiclostridium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05E-05,5.13E-06,8.94E-06,0,0,0,0,8.03E-06,0,0,0,0,0,0,8.37E-06,NA,0,6.48E-06,0,0,0
Ruminiclostridium 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000240648,4.76E-05,0.000186344,0,8.47E-06,1.40E-05,0,0,1.65E-05,6.74E-06,9.00E-06,1.57E-05,3.67E-05,8.87E-06,5.02E-05,NA,0,0,1.35E-05,7.12E-06,0
Ruminiclostridium 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.28E-06,1.87E-06,6.77E-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,6.97E-06
Ruminococcaceae NK4A214 group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000387441,0.000167535,0.000348854,7.14E-06,8.47E-06,2.11E-05,3.21E-05,1.61E-05,0,2.69E-05,4.50E-05,3.14E-05,8.81E-05,7.09E-05,0.000125614,NA,1.43E-05,6.48E-06,1.35E-05,0,1.39E-05
Ruminococcaceae UCG-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000670059,0.000261803,0.000508926,2.86E-05,1.69E-05,7.02E-05,4.81E-05,1.61E-05,4.13E-05,6.74E-05,1.80E-05,0.000133409,0.000117443,7.09E-05,0.000192609,NA,1.43E-05,1.30E-05,2.69E-05,3.56E-05,2.79E-05
Ruminococcaceae UCG-003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000143208,2.89E-05,6.85E-05,0,8.47E-06,7.02E-06,0,0,1.65E-05,6.74E-06,0,4.71E-05,7.34E-06,8.87E-06,2.51E-05,NA,7.16E-06,6.48E-06,2.02E-05,0,0
Ruminococcaceae UCG-004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000112415,1.12E-05,7.07E-05,0,0,0,0,0,0,0,0,0,7.34E-06,8.87E-06,8.37E-06,NA,7.16E-06,0,6.74E-06,0,0
Ruminococcaceae UCG-005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000205004,9.33E-05,0.000458819,3.57E-05,3.39E-05,2.11E-05,3.21E-05,1.61E-05,4.96E-05,2.69E-05,3.60E-05,6.28E-05,3.67E-05,3.55E-05,2.51E-05,NA,1.43E-05,1.94E-05,2.02E-05,7.12E-06,1.39E-05
Ruminococcaceae UCG-013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000183069,3.31E-05,8.48E-05,7.14E-06,0,0,1.60E-05,0,0,0,0,7.85E-06,2.20E-05,0,3.35E-05,NA,0,0,0,0,0
Ruminococcaceae UCG-014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000196779,8.17E-05,0.00013705,1.43E-05,8.47E-06,3.51E-05,8.02E-06,2.41E-05,8.26E-06,2.69E-05,9.00E-06,3.14E-05,4.40E-05,2.66E-05,5.86E-05,NA,0,6.48E-06,0,0,6.97E-06
Ruminococcus 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001621683,0.000541807,0.001794376,4.29E-05,2.54E-05,7.72E-05,5.62E-05,4.82E-05,2.48E-05,9.43E-05,9.90E-05,0.000164799,0.000264247,8.87E-05,0.000159112,NA,2.15E-05,3.24E-05,4.71E-05,0.000121004,4.18E-05
Ruminococcus 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003037519,0.000510073,0.002983946,4.29E-05,6.78E-05,9.13E-05,4.81E-05,5.62E-05,8.26E-05,0.000101058,0.000107952,0.000204037,0.000234887,0.000150741,0.000251229,NA,7.16E-06,3.89E-05,0.000114502,6.41E-05,6.97E-05
Sellimonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74E-06,0,2.17E-06,0,0,0,0,8.03E-06,0,0,0,0,0,0,0,NA,0,0,0,0,6.97E-06
Serratia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017663038,0.013097166,0.016428631,0.008706645,0.009961627,0.004822406,0.017039438,0.011189923,0.009415418,0.006892184,0.008789054,0.003507863,0.013410552,0.010214939,0.008231935,NA,0.009711032,0.004034478,0.014871791,0.009210554,0.009105614
Succiniclasticum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87E-05,3.27E-06,4.23E-05,7.14E-06,0,0,0,0,1.65E-05,0,0,0,0,0,0,NA,7.16E-06,6.48E-06,2.02E-05,0,6.97E-06
Tyzzerella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19E-05,1.03E-05,1.11E-05,0,0,0,8.02E-06,0,0,0,0,0,0,0,1.67E-05,NA,0,0,0,0,0
Tyzzerella 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58E-05,8.40E-06,3.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.74E-06,7.12E-06,0
