"","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Seq","PC04924_MS1000","PC04924_MS1001","PC04924_MS1002","PC04924_MS1003","PC04924_Seq200","PC04924_Seq2000","PC04925_MS1000","PC04925_MS1001","PC04925_MS1002","PC04925_MS1003","PC04925_Seq200","PC049252000","PC07578_MS1000","PC07578_MS1001","PC07578_MS1002","PC07578_MS1003","PC07578_Seq200","PC07578_Seq2000","PC04924-MSA1000_Diff","PC04924-MSA1001_Diff","PC04924-MSA1002_Diff","PC04924-MSA1003_Diff","PC04924-Seq.200_Diff","PC04924-Seq.2000_Diff","PC04925-MSA1000_Diff","PC04925-MSA1001_Diff","PC04925-MSA1002_Diff","PC04925-MSA1003_Diff","PC04925-Seq.200_Diff","PC04925-Seq.2000_Diff","PC07578-MSA1000_Diff","PC07578-MSA1001_Diff","PC07578-MSA1002_Diff","PC07578-MSA1003_Diff","PC07578-Seq.200_Diff","PC07578-Seq.2000_Diff"
"Acinetobacter",NA,NA,0.05,0.0018,NA,0,0,0.0966529329312322,0.00381771135274239,0,0,0,0,0.092530344567039,0.00324287094521557,0,0,NA,0,0.0935459692785609,0.00343650085912521,0,0,"NA","NA","93.3058658624644","112.095075152355","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Actinomyces",NA,NA,0.05,2e-04,NA,0,0,0.0117550864375823,0,0,0,0,0,0.00765273997152018,6.69619369218554e-05,0,0,NA,0,0.0129405709022278,0,0,0,"NA","NA","-76.4898271248354","-100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Alistipes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,8.74794969928923e-05,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Anaerostipes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Bacillus",0.1,0.0448,0.05,0.018,0.135,0.384224783555532,0.265165897093586,0.224472242280083,0.100377529233771,0.161694272600279,0.161931933420772,0.346261071225915,0.256301890030678,0.205664964981449,0.0803447583152377,0.179680245242277,0.181804264625478,NA,0.257050418910832,0.221831908034352,0.0935250233812558,0.164343317411987,0.160107696237017,"284.224783555532","491.888163155325","348.944484560166","457.652940187618","19.7735352594662","19.9495803116826","156.489682389566","89.8532518745764","52.3444185047773","-40.4853642109351","33.0964779572425","34.6698256485025","NaN","90.4077177117273","64.3199318772975","-30.7222049027735","21.7357906755457","18.5982935089014"
"Bacteroides",NA,NA,0.05,2e-04,NA,0,0,0.0795671749564626,0.000452469493658357,0,0,0,0,0.073534112814949,0.000908769143939466,0,0.000349917987971569,NA,0,0.0786728916261051,0.000619875154968789,0,0,"NA","NA","59.1343499129253","126.234746829179","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Bifidobacterium",0.1,4e-04,0.05,2e-04,NA,0.0523715939873586,0.000563400982277365,0.0319734103555197,0,0,0,0.060847539864637,0.000825949842318667,0.0378762193527138,0.000143489864832547,0,0,NA,0.000701301615798923,0.0352817937997237,0.000108750027187507,0,0,"-47.6284060126414","40.8502455693412","-36.0531792889606","-100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Bilophila",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Clostridium",0.1,0.0045,0.05,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Lachnoclostridium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Collinsella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Coprobacillus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Cryptococcus",NA,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deinococcus",0.1,4e-04,0.05,2e-04,NA,0.0198119721676316,0.000171469864171372,0.0098755468716816,2.82793433536473e-05,0,0,0.0166942162353309,0.000128719455945766,0.00879580746093712,1.9131981977673e-05,0,0,NA,0.00012155894673848,0.0082989425395306,4.35000108750027e-05,0,0,"-80.1880278323684","-57.132533957157","-80.2489062566368","-85.8603283231763","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Enterococcus",0.1,NA,0.05,2e-04,0.114,0.0391990226801933,0.000453170355310054,0.0257826105424118,0.000551447195396123,0.1012771901816,0.113187392674121,0.0357979917598007,0.000600690794413576,0.0219410835892319,0.000334809684609277,0.0960271198576879,0.107993439037726,NA,0.000514287851585877,0.0230004424898634,0.000543750135937534,0.0895356868391101,0.10826025881151,"-60.8009773198067","NA","-48.4347789151765","175.723597698061","-11.1603594898241","-0.712813443753117","-68.5982528422801","-99.4730782505144","-80.7534354480422","-99.7063072942024","-15.7656843353615","-5.26891312480217","NaN","-99.5488703056264","-79.8241732545058","-99.523026196546","-21.459923825342","-5.03486069165763"
"Escherichia-Shigella",0.1,0.0448,0.05,0.18,0.116,0.088511180751049,0.0810562543632957,0.0449071910971414,0.189400902111053,0.0926461784075035,0.0679043227821572,0.0896964613195832,0.0876043163924227,0.0440371593804187,0.167022202665085,0.0923798122643515,0.0675888463641334,NA,0.0846704817474566,0.0458293072776037,0.184820671205168,0.0808389349883751,0.0693427549804189,"-11.488819248951","80.9291392037849","-10.1856178057172","5.22272339502944","-20.1326048211177","-41.4617907050369","-22.6754643796696","-24.479037592739","-62.0369315686046","43.9846574699009","-20.3622308065935","-41.7337531343678","NaN","-27.0082053901236","-60.4919764848244","59.3281648320412","-30.3112629410559","-40.2217629479148"
"Fusobacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Helicobacter",NA,NA,0.05,0.0018,NA,0,0,0.0315805122541732,0.00108875471911542,0,0,0,0,0.0315409130978098,0.0011000889637162,0,0,NA,0,0.034017537047238,0.00120712530178133,0,0,"NA","NA","-36.8389754916536","-39.5136267158099","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Lactobacillus",0.1,0.0045,0.05,0.0018,0.12,0.0457109470441387,0.00553602704324715,0.0313044216964703,0.141905744948602,0.0582343843544203,0.0899441567397271,0.0549593335471509,0.00741209533821037,0.0394358283848844,0.15991467136038,0.0684709278258243,0.0850738108255878,NA,0.00603119389587074,0.0329067971861257,0.143386910846728,0.0650699923149508,0.0952877575344798,"-54.2890529558613","23.02282318327","-37.3911566070594","7783.65249714457","-51.4713463713164","-25.0465360502274","-54.2005553773743","-93.8232538848247","-67.136809679263","33.2622261336496","-42.9408934784798","-29.1051576453435","NaN","-94.9740050867744","-72.5776690115619","19.4890923722731","-45.7750064042076","-20.5935353879335"
"Listeria",NA,NA,NA,NA,0.125,0,0,0,0,0.187936539612852,0.178184620793164,9.04612702407092e-05,0,0,0,0.175328089862499,0.170858392564243,NA,0,0,0,0.16822475364067,0.169642857142857,"NA","NA","NA","NA","50.3492316902814","42.5476966345309","-99.9276309838074","-100","-100","-100","40.262471889999","36.6867140513942","NaN","-100","-100","-100","34.5798029125364","35.7142857142857"
"Neisseria",NA,NA,0.05,0.0018,NA,0,0,0.0297753047615002,0.00104633570408495,0,0,0,0,0.030843448189013,0.000975731080861322,0,0,NA,0,0.0348663951524784,0.00119625029906257,0,0,"NA","NA","-40.4493904769995","-41.8702386619472","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Paenibacillus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Parabacteroides",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Pediococcus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Porphyromonadaceae",NA,NA,0.05,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Propionibacterium",NA,NA,0.05,0.0018,NA,0,0,0,0,0,0,0,0,7.74961009774196e-05,0,0,0,NA,0,0,0,0,0,"NA","NA","-100","-100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Pseudomonas",NA,NA,0.05,0.018,0.121,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","NaN","-100","-100","-100","-100","-100"
"Pyramidobacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ralstonia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Rhodobacter",0.1,0.4478,0.05,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Saccharomyces",NA,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmonella",NA,NA,NA,NA,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Staphylococcus",0.1,0.4478,0.1,0.198,0.13,0.0782068306156053,0.547380797824782,0.0995094083166971,0.238083791694357,0.230031430852125,0.225333639817732,0.0744660729117838,0.549964602149615,0.0908254303455357,0.198781292748022,0.220673297456954,0.219464188080919,NA,0.555122307001795,0.0970678273747708,0.23546555886639,0.241952586164966,0.229950621488166,"-21.7931693843948","22.2377842395673","-0.490591683302899","20.2443392395742","76.9472545016349","73.333569090563","-42.718405452474","323.049693961242","-30.1342843495879","52.9086867292479","69.748690351503","68.8186062160912","NaN","327.01715923215","-25.3324404809455","81.1273529741459","86.1173739730507","76.8850934524355"
"Streptococcus",0.1,NA,0.1,0.198,NA,0.0503107239602698,0.00622190649993264,0.0395659006923502,0.107970532924225,0,0,0.100905435077591,0.00741209533821037,0.0731756933479284,0.140189597941399,0,0,NA,0.00749925194494315,0.0402936687827917,0.0999086499771625,0,0,"-49.6892760397302","NA","-60.4340993076498","-45.4694278160477","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Subdoligranulum",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.000267847747687422,0,0.000481137233460908,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Abiotrophia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Acetanaerobacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Acidaminococcus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Actinobacillus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Adlercreutzia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Akkermansia",NA,NA,NA,NA,NA,3.18691241302385e-05,0,0,0,0,0,0,0,0,0,0,0.000251503553854565,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Alcaligenes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Alkanindiges",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Alloprevotella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Anaerococcus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Anaerofilum",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Anaerofustis",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Anaeromyxobacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Anaerosporobacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Anaerotruncus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Arthrobacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Atopobium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Azospirillum",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
