"","SC249358.PC04924.A01","SC249363.PC04924.F01","SC249383.PC04924.E02","SC249388.PC04924.A03","SC249397.PC04924.B04","SC249400.PC04924.E04","SC249409.PC04924.D05","SC249413.PC04924.H05","SC249427.PC04924.E07","SC249428.PC04924.F07","SC249434.PC04924.C08","SC249439.PC04924.H08","SC249443.PC04924.D09","SC249446.PC04924.F09","SC253848.PC04924.C11","SC253851.PC04924.E11","SC253185.PC04925.C06","SC253192.PC04925.B07","SC253195.PC04925.E07","SC253204.PC04925.A09","SC249439.PC07578.G07","SC249443.PC07578.E05","SC253195.PC07578.E07","SC304093.PC07578.A04","SC304926.PC07578.E06","SC304936.PC07578.B11","SC284724.PC04924.A12","SC284730.PC04925.A12","SC284725.PC04924.B12","SC284731.PC04925.B12","SC326764.PC07578.B12","SC284726.PC04924.C12","SC284732.PC04925.C12","SC326765.PC07578.C12","SC284727.PC04924.D12","SC284733.PC04925.D12","SC326766.PC07578.D12","SC249362.PC04924.E01","SC284728.PC04924.E12","SC284734.PC04925.E12","SC326767.PC07578.E12","SC284729.PC04924.F12","SC284735.PC04925.F12","SC326768.PC07578.F12","SC249368.PC04924.B02","SC249390.PC04924.C03","SC249391.PC04924.D03","SC249395.PC04924.H03","SC249404.PC04924.H04","SC249408.PC04924.C05","SC249412.PC04924.G05","SC249420.PC04924.G06","SC249425.PC04924.C07","SC249432.PC04924.A08","SC249437.PC04924.F08","SC249442.PC04924.C09","SC249451.PC04924.C10","SC253844.PC04924.G10","SC253854.PC04924.H11","SC249391.PC04925.H01","SC249408.PC04925.E02","SC249432.PC04925.B04","SC249437.PC04925.F04","SC253181.PC04925.G05","SC253189.PC04925.F06","SC253194.PC04925.D07","SC253196.PC04925.F07","SC261522.PC04925.F11","SC249362.PC07578.H08","SC249368.PC07578.C10","SC249408.PC07578.E02","SC249420.PC07578.H07","SC249437.PC07578.F04","SC249451.PC07578.F06","SC253181.PC07578.G05","SC253196.PC07578.F07","SC304092.PC07578.A03","SC304097.PC07578.A09","SC304924.PC07578.B.07.PC07578.B07","SC304927.PC07578.B02","SC304934.PC07578.C.05.PC07578.C05","SC304934.PC07578.D.02.PC07578.D02","SC304937.PC07578.D04"
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetanaerobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26448662532106e-05,0,0,0,0,0,0,0,0,0.0966529329312322,0.092530344567039,0.0935459692785609,0.00381771135274239,0.00324287094521557,0.00343650085912521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48385252609042e-05,0,0,0,0,0,0
"Actinobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117550864375823,0.00765273997152018,0.0129405709022278,0,6.69619369218554e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adlercreutzia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akkermansia",0.00087070091423596,0,0.00715473652487415,0.00100502512562814,0.00969813020950665,0.00473306367929523,0.000157168453148084,0.000149961356112079,0,0.000122809890289831,0.000252760140736846,0.0142084517370978,0.00234543670264966,0.0161118418068847,0,0,0.000181585422322296,0.00159769634480516,0.00123477421271539,0.00259965337954939,0.0122844533418263,0.00282307456744756,0.0266688144906525,0.00140350877192982,0.000640885096048437,0.00156449884175224,3.18691241302385e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000251503553854565,0,0,0.000152255925293093,0.000437407051001662,0.000954373600557941,0,3.03453298537355e-05,0.000877593710177683,0,0,8.80242947053387e-05,0,0,0,0,9.93882103496256e-05,0.000764601769911504,0,0.000189176577417361,6.87975563107998e-05,6.58061726189917e-05,5.92922872592733e-05,0.000150240384615385,0.000961268442313093,0.00278960945467635,0,8.35421888053467e-05,0.00023043244488824,0.00126667306400537,0,0.000376344086021505,0.000143251816228384,0.000667504319145594,0.000235402257619747,0.000454603852273513,0.000457813804432715,6.47936968691686e-05,0.000323655004646015,0.000428621179244019,0.000150024378961581
"Alcaligenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes",0.000766216804527645,0.00682130075612841,0.0104028306414707,0.00676801730169837,0.0189569722910565,0.0144427267529277,0.00615052546652836,0.0105434368835723,0.00822485207100592,0.00783254189181813,0.00842196788935172,0.00896303765494342,0.0070657507360157,0.00817497392171981,0.00484838984189546,0.00434519434476199,0.00455779410028963,0.00851795086154846,0.00588606654783125,0.00823223570190641,0.00883570681104691,0.00708161077935998,0.0167619763560376,0.00737336298492711,0.00847486212537736,0.0084966981295163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74794969928923e-05,0,0,0,0.000335345405767941,0.00126026257509574,0.000104002808075818,0,0.00102185568993292,0,0,0,0,0,8.73973081629086e-05,0,0,0.000594690265486726,0.00021534485941057,0.000113505946450417,0,0,0,0,0.000334823839457369,0.00310956466094747,0,0,0,0.000479800403032339,0,5.37634408602151e-05,0.000163716361403868,0.000215957279723575,0.00140120391440326,0.000444721159832785,0.000350092909272076,0,0.000323655004646015,0.000321465884433015,0
"Alkanindiges",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135398613518198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerofilum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerofustis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeromyxobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerosporobacter",0,0,0.000200913038139992,0.000165383881432479,0.000225275963054742,0.000264712733741344,0,0,0,0,0,0.000458337152809607,0.000157016683022571,0.00051022722118917,0,0,0,0,0,0,0.000300286637244643,0.000267952840300107,0.000393767730734466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159977603135561,0,0,0,0,0,0,0,0,0,4.94134622036428e-05,9.42557832655589e-05,0,0,0,0
"Anaerostipes",0.0264518937744885,0.0231951134192611,0.00969963500798071,0.0103810190191464,0.019238567244875,0.0150039177484594,0.0227684699127191,0.0245936624023809,0.0226528599605523,0.0230200316576606,0.0114550895781939,0.0116112078711767,0.0147497546614328,0.0106807564968933,0.0195951090607784,0.021996195252713,0.0138731262654234,0.0186707537968511,0.0186701574569222,0.0131607452339688,0.00786205013876883,0.0144311743990201,0.0183459965455831,0.01882876204596,0.0164100315382929,0.0159907340179096,0,0,0,0,0,0,0,0,0,0,0,4.66773505935803e-05,0,0,0,0,0,0,0,5.07519750976975e-05,0,0,0,0,0.000204371137986584,0,0,0,0,0,0.000112367967638025,0,0,0.000127433628318584,0,0,0,0,0,0,9.72069211327846e-05,0.000439938408622793,0,0,0,0,0,0.00010752688172043,0.000112554998465159,0,0.000257821520250199,0.000148240386610928,0.000282767349796677,0,0.000229690648458463,0.000348254708135766,7.50121894807906e-05
"Anaerotruncus",0,0,0,0,0.000146429375985582,0.000105885093496538,0,0,0,0,0,7.12968904370499e-05,0,0,0,0,0,0,0,0,0,0,0.000572753062886496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99874017637531e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arthrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azospirillum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus",0,0,0.000200913038139992,0,0.0010024780355936,0,0,0,0,8.18732601932209e-05,0.000101104056294739,0.00248520589523431,0.00712463199214917,0.000453535307723706,0,0,5.44756266966888e-05,3.71557289489573e-05,0.000427064765300059,0.000297876949740035,0.00254788661904545,0.00892857142857143,8.94926660760151e-05,0.00159130219915987,0.0148415495927007,0.00538498772603119,0.384224783555532,0.346261071225915,0.265165897093586,0.256301890030678,0.257050418910832,0.224472242280083,0.205664964981449,0.221831908034352,0.100377529233771,0.0803447583152377,0.0935250233812558,0.150767842417264,0.161694272600279,0.179680245242277,0.164343317411987,0.161931933420772,0.181804264625478,0.160107696237017,0.0850372635199694,0.0710020131616789,0.0570524596856501,0.0475473822021559,0.0501033527905253,0.0606147963828367,0.0521747493448102,0.0622813892820795,0.0602124815309928,0.124715754881681,0.179476579641937,0.192204886835759,0.180063425475067,0.0784003740773316,0.115146763257283,0.0570619469026549,0.0586353288623639,0.183539115410324,0.158839798010375,0.114803568574732,0.137024475856181,0.110586313100962,0.160661439094464,0.120473133761273,0.179502362922052,0.107758980785297,0.0572752643572215,0.0692160061414452,0.135783025221037,0.212365591397849,0.103305024045841,0.149216664049003,0.101189341882545,0.11475782462174,0.172939164624458,0.184506531204644,0.199225316085654,0.194312732727906,0.204308200082513
"Bacteroides",0.109899869394863,0.10016683260232,0.115424540411425,0.106812543731315,0.141552151385447,0.11375235594333,0.100011525686564,0.0971980297384905,0.099181459566075,0.109669232028819,0.075787600598536,0.0663061081064564,0.0511874386653582,0.0516236564016509,0.0684485152505935,0.0999394699295257,0.0874333808481855,0.101927453439227,0.0726102941176471,0.0763377383015598,0.0555803266754629,0.0560308528556117,0.142633411191953,0.0904768964665184,0.0897660769399423,0.0900235107008263,0,0,0,0,0,0.0795671749564626,0.073534112814949,0.0786728916261051,0.000452469493658357,0.000908769143939466,0.000619875154968789,0.000171150285509794,0,0,0,0,0.000349917987971569,0,0,0.00157331122802862,0.00154550491353921,0.00484528135667878,0.000871023517634976,0,0.00265682479382559,0,0.000267360866812073,0,0,0,0.000224735935276051,0.000155865554825709,0,0.00259115044247788,0.000353780840460223,0.000163953033761713,0.00015135462388376,0.00012221146343527,0,0.000525841346153846,0.000702049985959,0.0058691783150359,0,6.265664160401e-05,0.000128018024937911,0.00148738124940025,0,8.06451612903226e-05,0.00023534226951806,0.00150188471807759,0.00465199699581881,0.00153181732831293,0.00115799962297687,0.000129587393738337,0.00134682243868826,0.00143320206809719,0.000600097515846325
"Basidiomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74184657785944e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000773298742765915,0.00120831049104396,0.00088523984162962,0.000635504414727477,0.00139967195188628,0.00081942789034565,0,0,0.000189543055434054,0.000146826707778145,0,9.10359895612065e-05,0,0,0.000211074368535847,0,0,0,0,0,9.93882103496256e-05,0.000254867256637168,0.000153817756721836,7.56706309669445e-05,0.00016511413514592,0,0,0,0,0.00038994540764293,0.000250526675397142,0.000114870509607352,0.000153621629925494,0.000556568467517513,0.000108617730758369,0.000470430107526882,0,0,0.000269031151565425,0.000602844238884442,0.000538604475803194,0.000570184532448683,0.000678631461354548,0.000361649119987141,0.00056259142110593
"Bergeyella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71360665478313e-05,0,0,0,3.5797066430406e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",0.00900304745319983,0.0143960390711191,0.00399593709189539,0.00631003116850073,0.0104190132912818,0.00750725312890451,0.00444262827565251,0.00479876339558652,0.00530571992110454,0.00543092625948365,0.020291584098354,0.0177732962589503,0.0250343473994112,0.00628146401197333,0.0187665158776369,0.0143758917376454,0.00611942873226137,0.00713389995819981,0.023107917409388,0.01532712305026,0.020565084853724,0.0253024039197673,0.0188561047422164,0.0180479367432666,0.0162329448670163,0.0154202537772707,0.0523715939873586,0.060847539864637,0.000563400982277365,0.000825949842318667,0.000701301615798923,0.0319734103555197,0.0378762193527138,0.0352817937997237,0,0.000143489864832547,0.000108750027187507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bilophila",0.0154984762734001,0.0218093264806393,0.0255717650210401,0.0240442719928758,0.0189006533002929,0.0190699053387264,0.0371231886335775,0.0440424967412244,0.0438856015779093,0.0432427269253862,0.0539187932219841,0.0362493761522087,0.0340922473012758,0.0271781033153431,0.02873202848569,0.0290436248865061,0.0352457304727576,0.0386233802424411,0.0292260843731432,0.0439503899480069,0.03831839483143,0.0333505588730669,0.0268835968892349,0.0255102545095132,0.039574654680991,0.046208899491754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102061645233721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48046140885231e-05,0.000179974803527506,0,0,0,0,0,0,0,0,6.72577878913563e-05,0,0,0,0,5.35776474055024e-05,0
"Blautia",0.00144536351763169,0,0.00186402652052103,0.000394376948031296,0.00154314034692498,0.00188475466423837,0,0,0,0,0.000535851498362114,0.00898340819506829,0.0121099116781158,0.0300126989886163,0,0,0.000163426880090066,0.000947471088198412,0.000622029114676173,0.00140814558058925,0.00802584284999317,0.0111678915939366,0.00684618895481515,0.00094885100074129,0.000539692712461842,0.000795214880890641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000626950106435716,0,0,0,0.000420764107619437,0,0,0,0,0.000450332665097766,0,0,5.52156724164587e-05,0.000424778761061947,0,0.000239623664728658,0,0,0,0.000544621394230769,0,0.00122982782410463,0,0,0,9.59600806064677e-05,0,0,9.20904532896756e-05,0.000206141039736139,0.000313869676826329,0.000286598080781128,0.000659790482858913,0.000233257308729007,0.000803917269604619,0.000870636770339414,0
"Bradyrhizobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26448662532106e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevundimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campylobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Planktophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capnocytophaga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96480773221857e-05,0,0,0,0,0
"Christensenella",0,0,4.46473418088871e-05,0,9.01103852218968e-05,0.000116473602846191,0,0,0,0,0,0.000173149591061407,0,0,0,0,0,0,0,0,5.45975704081168e-05,0,6.26448662532106e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99888015677805e-05,0,0,0,0,0,0,0,0,2.24192626304521e-05,0,2.01976678426198e-05,0,6.26429041250352e-05,0,0
"Clostridium sensu stricto 1",0,0,0,0,0,9.52965841468838e-05,0,0,0,0,0,0.000254631751560893,0.000166830225711482,0.000532903986575355,0,0,0,0,0,0,0.000354884207652759,0.000162685653039351,0,0,0,0,0.236479524087746,0.214804398062484,0.025904197337318,0.0237809194859803,0.0254525733093956,0.194813745062227,0.193769313481415,0.196619016227638,0.0828867553695403,0.107655662588366,0.0976792744198186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04470873112964e-05,0,0,0,0,0,4.99930009798628e-05,0,0,0,0,0,0,0,0,2.24192626304521e-05,0,0,0,0,0,0
"Collinsella",0.00022638223770135,0.000147996663347954,0.00018975120268777,0,0.000214012164902005,0.00033883229918892,0.000806798059493499,0.00056523895765322,0.00029585798816568,0.000545821734621473,0.00513608605977272,0.00551023110377772,0.0107360157016683,0.00817497392171981,0,0,0,0.00178347498954995,0.00389928698752228,0.00278921143847487,0.0082260339414896,0.0130244219874445,0.00252369318334363,0.000207561156412157,0.00110468352082033,0.00113231684126819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32030760590154e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacillus",0.0397213757074445,0.0349406667922396,0.0277594847696755,0.0407734876916227,0.0214124802883532,0.0258041972851062,0.0236486132503484,0.0298538453552354,0.0292406311637081,0.031698597238142,0.0150038419541392,0.0121102861042361,0.0117664376840039,0.00717719624472765,0.033457249070632,0.0365882658134809,0.0385869022434879,0.0269193256235196,0.0263851752822341,0.0250758232235702,0.0154602120205651,0.0117803552289083,0.0254069678989807,0.031203360513961,0.0191506585937632,0.027547280710853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91150442477876e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
